Type,Price,Address,Description,Bedrooms,Bathrooms,Agency_Name,Agency_Link,Images
Apartment,"5,000",Al Mansoura / Fereej Bin Dirham,Unfurnished 2-Bedroom Apartment in Bin Dirham,2,2,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/04/21/Layout.png?itok=JpzWw-Sa
Apartment,"4,750",Fereej Abdel Aziz,FF 1BHK (incl W&E + FREE Internet) - NO Commission!,1,1,Capital One Trading,https://www.qatarliving.com/user/capital-one-trading,https://files.qatarliving.com/styles/555x415/s3/2020/04/12/1-Month-Free-CAP116FAZ.jpg?itok=X-oNp4zE
Apartment,"4,250",New Al Rayyan / Al Wajba,FF 1BHK (Utilities Included + FREE Internet) nr Villaggio Mall,1,1,Capital One Trading,https://www.qatarliving.com/user/capital-one-trading,https://files.qatarliving.com/styles/555x415/s3/mkdev/2018/02/14/1253720171227062932-Large.jpg?itok=TOJv_aq2
Apartment,"6,000",Old Airport,SPACIOUS 3 BEDROOMS APARTMENT IN OLD AIRPORT ,3,3,Qatar Grand Mark,https://www.qatarliving.com/user/qatar-grand-mark,https://files.qatarliving.com/styles/555x415/s3/2020/05/03/20181230_132405.jpg?itok=HQrzEzpD
Apartment,"7,500",Al Sadd,Amazing Furnished 3-Bedroom Apartment in Al Sadd ,3,3,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/01/13/Al-Sadd-res.-8-27_0.jpg?itok=lCCaxtUy
Apartment,"6,000",Al Sadd,Fully Furnished 2-BDR Apt in Al Sadd + 1 month free ,2,1,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/02/10/Al-Sadd-Res.-1t-01_0.jpg?itok=15QDudPH
Apartment,"5,000",Al Sadd,Fully Furnished 1-BDR Apt in Al Sadd + 1 month free ,1,1,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/02/10/Al-Sadd-Res.-1t-01_2.jpg?itok=z6PBGZeL
Apartment,"9,000",The Pearl Qatar,Lux. Semi Furnished 1 Bedroom Apartment in The Pearl ,1,1,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/02/27/Layout-2.png?itok=iiPKy3sj
Apartment,"6,300",Fereej Bin Omran,No Commission 2 BHK Furnished Apartment with Gym & internet,2,2,Focus Real Estate1,https://www.qatarliving.com/user/focus-real-estate1,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/7e96e32e-4bd7-42a3-b2dd-d0db91c6734f.jpg?itok=0kKhkLHa
Apartment,"6,500",Umm Ghwailina,Spacious 2 BHK Unfurnished near Sana Signal,2,3,AL EMADI ENTERPRISES,https://www.qatarliving.com/user/al-emadi-enterprises,https://files.qatarliving.com/styles/555x415/s3/2019/08/21/1_19.jpg?itok=9K2ZGxU3
